WBS番号,フェーズ,タスク,定義,依存,アウトプット,担当,自動化レベル,開始日,期限,日数,進捗
0,P0 事業設計・検証,10億円の事業設計と検証,2年で年商10億円ランレートに到達しうる事業構造を確定し、最初の反証可能な検証を通す,-,事業計画・検証結果,人間,C,2026/09/14,2026/11/30,78,0%
0.1,P0 事業設計・検証,セキュリティ是正,,-,,,,2026/09/14,2026/09/16,3,0%
0.1.1,P0 事業設計・検証,Anthropic APIキーの無効化と再発行,シートに平文で記載されたキーを revoke し、環境変数へ移設,-,revoke完了記録,人間,C,2026/09/14,2026/09/14,1,0%
0.1.2,P0 事業設計・検証,Googleアプリパスワードの削除と再発行,同上,-,削除完了記録,人間,C,2026/09/14,2026/09/14,1,0%
0.1.3,P0 事業設計・検証,シートから認証情報を全削除・版履歴も確認,版履歴に残る場合はシートを複製し直して旧シートを破棄,0.1.1,クリーンなシート,人間,C,2026/09/15,2026/09/15,1,0%
0.1.4,P0 事業設計・検証,シートの共有範囲の棚卸し,リンク共有を停止し、必要な相手にのみ個別共有,0.1.3,共有設定一覧,人間,C,2026/09/15,2026/09/16,2,0%
0.1.5,P0 事業設計・検証,秘密情報の取り扱いルール文書化,Git・シート・チャットのいずれにも置かない。.env と Secret Manager のみ,0.1.4,security.md,Codex,D,2026/09/16,2026/09/16,1,0%
0.2,P0 事業設計・検証,目標の分解と事業モデル決定,,-,,,,2026/09/14,2026/10/10,27,0%
0.2.1,P0 事業設計・検証,10億円の定義確定（累計 or ARR）,24ヶ月累計10億か、24ヶ月目に年商10億ランレートか。以降の全計算がこれに依存,-,目標定義メモ,人間,C,2026/09/14,2026/09/16,3,0%
0.2.2,P0 事業設計・検証,収益源の分解と構成比の仮置き,アプリ課金／マッチング手数料／自社鑑定／法人の4本に分解,0.2.1,revenue-model.md,Claude＋人間,B,2026/09/16,2026/09/20,5,0%
0.2.3,P0 事業設計・検証,ユニットエコノミクス試算（ARPU・継続率・CAC）,ARPU感応度、LTV/CAC=3を満たす上限CACを算出,0.2.2,ユニットエコノミクス表,Claude＋人間,B,2026/09/20,2026/09/25,6,0%
0.2.4,P0 事業設計・検証,positioning.md との矛盾の整理とエスカレーション,「Web占いは唯一横ばい」という自社記録と10億目標の衝突を明文化,0.2.2,エスカレーション記録,Claude＋人間,B,2026/09/25,2026/09/28,4,0%
0.2.5,P0 事業設計・検証,moat移設仮説の定義,実在占術師の手法と神社一次情報をプロダクト機能として持たせる仮説を文書化,0.2.4,moat移設仮説,人間,C,2026/09/28,2026/10/02,5,0%
0.2.6,P0 事業設計・検証,事業モデルの意思決定（Go/Pivot）,プラットフォーム化するか、対面特化で目標を再設定するかを決める,"0.2.3,0.2.5",決定記録,人間,C,2026/10/05,2026/10/10,6,0%
0.3,P0 事業設計・検証,市場・競合の一次調査,,0.2.1,,,,2026/09/21,2026/10/23,33,0%
0.3.1,P0 事業設計・検証,国内占いアプリ競合分析,MAU・課金モデル・ARPU・継続率の推定。上位10アプリ,0.2.1,国内競合分析シート,A02 Research,B,2026/09/21,2026/09/30,10,0%
0.3.2,P0 事業設計・検証,海外占いアプリ競合分析,Co-Star / Sanctuary / The Pattern 等の課金構造,0.2.1,海外競合分析シート,A02 Research,B,2026/09/28,2026/10/07,10,0%
0.3.3,P0 事業設計・検証,課金モデル比較（サブスク／都度／クレジット）,どの構造が日本市場の占い利用実態に合うか,"0.3.1,0.3.2",課金モデル比較表,A02 Research,B,2026/10/07,2026/10/14,8,0%
0.3.4,P0 事業設計・検証,継続率が高いサービスの要因分析,通知設計・毎日開く理由・パーソナライズの深さ,0.3.3,継続率要因分析,A02 Research,B,2026/10/14,2026/10/21,8,0%
0.3.5,P0 事業設計・検証,占い師サプライサイドの調査,ココナラ等で稼働する占い師の獲得可能性と単価,0.2.6,サプライ調査,A02 Research,B,2026/10/14,2026/10/23,10,0%
0.4,P0 事業設計・検証,法務・コンプライアンス基盤,,-,,,,2026/09/17,2026/11/06,51,0%
0.4.1,P0 事業設計・検証,特商法表記・利用規約・プライバシーポリシー,課金を伴うため必須。占いサービス特有の条項を含む,-,規約一式,A30＋人間,B,2026/09/17,2026/09/30,14,0%
0.4.2,P0 事業設計・検証,標準免責文の確定,rules.md §3.4 が必須としているが未定義。全媒体共通で使う,-,免責文（承認済み）,A30＋人間,B,2026/09/17,2026/09/24,8,0%
0.4.3,P0 事業設計・検証,禁止表現リストの確定,断定・不安煽り・効能ランキング・医療/投資/法律の断定,0.4.2,禁止表現リスト,A30,B,2026/09/24,2026/09/28,5,0%
